BoreID,HydroCode,RefElev,RefElevDes,FromDepth,ToDepth,TopElev,BottomElev,MajorLithC,MinorLithC,Descriptio,Source,LogType
10015727,GW000378.1.1,365.07000000000,NGS,37.80000000000,70.10000000000,327.27000000000,294.97000000000,DORT,NA,Diorite,UNK,1
10015727,GW000378.1.1,365.07000000000,NGS,0.00000000000,37.80000000000,365.07000000000,327.27000000000,ROCK,NA,Rock very hard,UNK,1
10015777,GW000428.1.1,362.00000000000,NGS,0.00000000000,4.88000000000,362.00000000000,357.12000000000,CLAY,NA,Clay,UNK,1
10015777,GW000428.1.1,362.00000000000,NGS,17.07000000000,18.59000000000,344.93000000000,343.41000000000,ROCK,NA,Rock,UNK,1
10015777,GW000428.1.1,362.00000000000,NGS,8.53000000000,17.07000000000,353.47000000000,344.93000000000,SHLE,NA,Shale water supply,UNK,1
10015777,GW000428.1.1,362.00000000000,NGS,4.88000000000,8.53000000000,357.12000000000,353.47000000000,ROCK,NA,Rock sandy,UNK,1
10015782,GW000433.1.1,371.55000000000,NGS,0.00000000000,43.28000000000,371.55000000000,328.27000000000,ROCK,NA,Rock hard,UNK,1
10015782,GW000433.1.1,371.55000000000,NGS,60.96000000000,62.33000000000,310.59000000000,309.22000000000,ROCK,NA,Rock green water supply,UNK,1
10015782,GW000433.1.1,371.55000000000,NGS,43.28000000000,54.86000000000,328.27000000000,316.69000000000,ROCK,NA,Rock,UNK,1
10015782,GW000433.1.1,371.55000000000,NGS,54.86000000000,60.96000000000,316.69000000000,310.59000000000,ROCK,NA,Rock hard,UNK,1
10018628,GW003279.1.1,324.24000000000,NGS,0.00000000000,1.22000000000,324.24000000000,323.02000000000,CLAY,NA,Clay,UNK,1
10018628,GW003279.1.1,324.24000000000,NGS,1.22000000000,6.71000000000,323.02000000000,317.53000000000,SHLE,NA,Shale,UNK,1
10018628,GW003279.1.1,324.24000000000,NGS,10.67000000000,15.24000000000,313.57000000000,309.00000000000,SHLE,NA,Shale water supply,UNK,1
10018628,GW003279.1.1,324.24000000000,NGS,6.71000000000,10.67000000000,317.53000000000,313.57000000000,SHLE,NA,Shale,UNK,1
10018633,GW003284.1.1,390.95000000000,NGS,15.24000000000,17.68000000000,375.71000000000,373.27000000000,SDSN,NA,Sandstone hard,UNK,1
10018633,GW003284.1.1,390.95000000000,NGS,1.22000000000,9.14000000000,389.73000000000,381.81000000000,CLAY,NA,Clay,UNK,1
10018633,GW003284.1.1,390.95000000000,NGS,17.68000000000,21.34000000000,373.27000000000,369.61000000000,ROCK,NA,Rock,UNK,1
10018633,GW003284.1.1,390.95000000000,NGS,9.14000000000,15.24000000000,381.81000000000,375.71000000000,ROCK,NA,Rock sandstone water supply,UNK,1
10018633,GW003284.1.1,390.95000000000,NGS,1.22000000000,9.14000000000,389.73000000000,381.81000000000,SHLE,NA,Shale,UNK,1
10018633,GW003284.1.1,390.95000000000,NGS,0.00000000000,1.22000000000,390.95000000000,389.73000000000,CLAY,NA,Clay,UNK,1
10018640,GW003291.1.1,354.53000000000,NGS,26.82000000000,39.62000000000,327.71000000000,314.91000000000,ROCK,NA,Rock water bearing,UNK,1
10018640,GW003291.1.1,354.53000000000,NGS,0.00000000000,19.20000000000,354.53000000000,335.33000000000,SHLE,NA,Shale water bearing,UNK,1
10018640,GW003291.1.1,354.53000000000,NGS,19.20000000000,26.82000000000,335.33000000000,327.71000000000,SHLE,NA,Shale,UNK,1
10018640,GW003291.1.1,354.53000000000,NGS,39.62000000000,39.64000000000,314.91000000000,314.89000000000,BDRK,NA,Bedrock,UNK,1
10018645,GW003296.1.1,364.12000000000,NGS,36.59000000000,41.45000000000,327.53000000000,322.67000000000,ROCK,NA,Rock,UNK,1
10018645,GW003296.1.1,364.12000000000,NGS,31.41000000000,36.58000000000,332.71000000000,327.54000000000,ROCK,NA,Rock,UNK,1
10018645,GW003296.1.1,364.12000000000,NGS,0.00000000000,2.44000000000,364.12000000000,361.68000000000,CLAY,NA,Clay,UNK,1
10018645,GW003296.1.1,364.12000000000,NGS,36.58000000000,36.59000000000,327.54000000000,327.53000000000,QRTZ,NA,Quartz reef,UNK,1
10018645,GW003296.1.1,364.12000000000,NGS,17.68000000000,21.34000000000,346.44000000000,342.78000000000,SHLE,NA,Shale,UNK,1
10018645,GW003296.1.1,364.12000000000,NGS,2.44000000000,17.68000000000,361.68000000000,346.44000000000,SHLE,NA,Shale water bearing,UNK,1
10018645,GW003296.1.1,364.12000000000,NGS,31.39000000000,31.41000000000,332.73000000000,332.71000000000,QRTZ,NA,Quartz reef,UNK,1
10018645,GW003296.1.1,364.12000000000,NGS,21.34000000000,31.39000000000,342.78000000000,332.73000000000,ROCK,NA,Rock,UNK,1
10018645,GW003296.1.1,364.12000000000,NGS,41.45000000000,42.67000000000,322.67000000000,321.45000000000,BDRK,NA,Bedrock,UNK,1
10018651,GW003302.1.1,357.90000000000,NGS,0.00000000000,17.98000000000,357.90000000000,339.92000000000,SHLE,NA,Shale,UNK,1
10018651,GW003302.1.1,357.90000000000,NGS,30.48000000000,30.50000000000,327.42000000000,327.40000000000,BDRK,NA,Bedrock,UNK,1
10018651,GW003302.1.1,357.90000000000,NGS,21.64000000000,30.48000000000,336.26000000000,327.42000000000,ROCK,NA,Rock,UNK,1
10018651,GW003302.1.1,357.90000000000,NGS,17.98000000000,21.64000000000,339.92000000000,336.26000000000,SHLE,NA,Shale soak,UNK,1
10018656,GW003307.1.1,340.40000000000,NGS,0.00000000000,7.32000000000,340.40000000000,333.08000000000,CLAY,NA,Clay,UNK,1
